Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
report,USD,9.99,23.74,23.74,109.9,-,-
today,USD,4.49,27.49,27.49,114.9,-,-
buzz,USD,2.49,39.38,39.38,244.9,-,-
fail,USD,9.99,37.49,37.49,129.9,-,-
photo,USD,25,25,25,134.9,-,-
pictures,USD,9.79,14.99,14.99,99.9,-,-
reviews,USD,7.99,59.99,59.99,159.9,-,-
wtf,USD,7.01,34.99,34.99,124.9,-,-
digital,USD,4.49,39.99,39.99,134.9,-,-
graphics,USD,22.99,23.01,23.01,114.9,-,-
photography,USD,9.99,34.99,34.99,124.9,-,-
press,USD,79.99,79.99,79.99,219.9,-,-
social,USD,7.52,39.99,39.99,129.9,-,-
accountants,USD,27.99,112.49,112.49,229.9,-,-
builders,USD,7.99,33.75,33.75,129.9,-,-
engineering,USD,16.99,62.49,62.49,164.9,-,-
plumbing,USD,9.99,69.99,69.99,154.9,-,-
actor,USD,12.5,42.49,42.49,139.9,-,-
florist,USD,9.99,31.25,31.25,124.9,-,-
work,USD,12.99,12.99,12.99,94.9,-,-
archi,USD,24.99,99.99,99.99,199.9,-,-
dentist,USD,61.99,61.99,61.99,179.9,-,-
lawyer,USD,52.99,54.9,54.9,164.9,-,-
attorney,USD,52.99,53.75,53.75,164.9,-,-
engineer,USD,11.69,37.49,37.49,129.9,-,-
build,USD,80,80,80,249.9,-,-
construction,USD,15.99,37.49,37.49,129.9,-,-
furniture,USD,25,99.99,99.99,239.9,-,-
immobilien,USD,9.99,36.24,36.24,124.9,-,-
properties,USD,13.77,37.49,37.49,129.9,-,-
contractors,USD,6.99,33.9,33.9,124.9,-,-
haus,USD,12.52,32.49,32.49,124.9,-,-
land,USD,12.52,39.99,39.99,129.9,-,-
property,USD,59.99,149.99,149.99,259.9,-,-
casa,USD,7.8,7.8,7.8,134.9,-,-
estate,USD,9.99,37.49,37.49,129.9,-,-
house,USD,17.99,42.49,42.49,134.9,-,-
lease,USD,9.99,53.74,53.74,154.9,-,-
rentals,USD,9.99,42.49,42.49,129.9,-,-
condos,USD,49.99,55,55,159.9,-,-
forsale,USD,12.5,34.99,34.99,124.9,-,-
immo,USD,9.99,33.74,33.74,124.9,-,-
maison,USD,16.29,54.99,54.99,154.9,-,-
villas,USD,12.52,57.49,57.49,149.9,-,-
cheap,USD,6.99,34.99,34.99,124.9,-,-
discount,USD,7.99,28.75,28.75,124.9,-,-
gratis,USD,22,22,22,109.9,-,-
qpon,USD,2.99,14.99,14.99,99.9,-,-
toys,USD,12.5,62.49,62.49,159.9,-,-
bargains,USD,13.75,28.75,28.75,124.9,-,-
clothing,USD,24.99,31.27,31.27,124.9,-,-
kaufen,USD,6.99,28.75,28.75,124.9,-,-
shoes,USD,25.99,62.49,62.49,159.9,-,-
deals,USD,6.99,37.49,37.49,129.9,-,-
blackfriday,USD,125,125,125,390,-,-
delivery,USD,8.99,59.99,59.99,154.9,-,-
gift,USD,23.75,23.99,23.99,124.9,-,-
supplies,USD,20.99,22,22,114.9,-,-
boutique,USD,4.99,31.25,31.25,124.9,-,-
diamonds,USD,47.5,55,55,154.9,-,-
gifts,USD,9.79,34.99,34.99,124.9,-,-
tienda,USD,6.99,57.49,57.49,159.9,-,-
bike,USD,9.99,37.49,37.49,129.9,-,-
